video,frame,time,label
1.mp4,0,0.0,0
1.mp4,2,0.05,0
1.mp4,3,0.1,0
1.mp4,5,0.15,0
1.mp4,6,0.2,0
1.mp4,8,0.25,0
1.mp4,9,0.3,0
1.mp4,11,0.35,0
1.mp4,12,0.4,0
1.mp4,14,0.45,0
1.mp4,15,0.5,0
1.mp4,17,0.55,0
1.mp4,18,0.6,0
1.mp4,20,0.65,0
1.mp4,21,0.7,0
1.mp4,23,0.75,0
1.mp4,24,0.8,0
1.mp4,26,0.85,0
1.mp4,27,0.9,0
1.mp4,29,0.95,0
1.mp4,30,1.0,0
1.mp4,32,1.05,0
1.mp4,33,1.1,0
1.mp4,35,1.15,0
1.mp4,36,1.2,0
1.mp4,38,1.25,0
1.mp4,39,1.3,0
1.mp4,41,1.35,0
1.mp4,42,1.4,0
1.mp4,44,1.45,0
1.mp4,45,1.5,0
1.mp4,47,1.55,0
1.mp4,48,1.6,0
1.mp4,50,1.65,0
1.mp4,51,1.7,0
1.mp4,53,1.75,0
1.mp4,54,1.8,0
1.mp4,56,1.85,0
1.mp4,57,1.9,0
1.mp4,59,1.95,0
1.mp4,60,2.0,0
1.mp4,62,2.05,0
1.mp4,63,2.1,0
1.mp4,65,2.15,0
1.mp4,66,2.2,0
1.mp4,68,2.25,0
1.mp4,69,2.3,0
1.mp4,71,2.35,0
1.mp4,72,2.4,0
1.mp4,74,2.45,0
1.mp4,75,2.5,0
1.mp4,77,2.55,0
1.mp4,78,2.6,0
1.mp4,80,2.65,0
1.mp4,81,2.7,0
1.mp4,83,2.75,0
1.mp4,84,2.8,0
1.mp4,86,2.85,0
1.mp4,87,2.9,0
1.mp4,89,2.95,0
1.mp4,90,3.0,0
1.mp4,92,3.05,0
1.mp4,93,3.1,0
1.mp4,95,3.15,0
1.mp4,96,3.2,0
1.mp4,98,3.25,0
1.mp4,99,3.3,0
1.mp4,101,3.35,0
1.mp4,102,3.4,0
1.mp4,104,3.45,0
1.mp4,105,3.5,0
1.mp4,107,3.55,0
1.mp4,108,3.6,0
1.mp4,110,3.65,0
1.mp4,111,3.7,0
1.mp4,113,3.75,0
1.mp4,114,3.8,0
1.mp4,116,3.85,0
1.mp4,117,3.9,0
1.mp4,119,3.95,0
1.mp4,120,4.0,0
1.mp4,122,4.05,0
1.mp4,123,4.1,0
1.mp4,125,4.15,0
1.mp4,126,4.2,0
1.mp4,128,4.25,0
1.mp4,129,4.3,0
1.mp4,131,4.35,0
1.mp4,132,4.4,0
1.mp4,134,4.45,0
1.mp4,135,4.5,0
1.mp4,137,4.55,0
1.mp4,138,4.6,0
1.mp4,140,4.65,0
1.mp4,141,4.7,0
1.mp4,143,4.75,0
1.mp4,144,4.8,0
1.mp4,146,4.85,0
1.mp4,147,4.9,0
1.mp4,149,4.95,0
1.mp4,150,5.0,0
1.mp4,152,5.05,0
1.mp4,153,5.1,0
1.mp4,155,5.15,0
1.mp4,156,5.2,0
1.mp4,158,5.25,0
1.mp4,159,5.3,0
1.mp4,161,5.35,0
1.mp4,162,5.4,0
1.mp4,164,5.45,0
1.mp4,165,5.5,0
1.mp4,167,5.55,0
1.mp4,168,5.6,0
1.mp4,170,5.65,0
